invoice_detail_invoice_no,invoice_detail_item_no,invoice_date,item_name_en
51500,1,2016-07-01,"""Seeni Rathu"""
51500,2,2016-07-01,"""Sudu Kekulu  Hal"""
51500,3,2016-07-01,"""Pan Piti Prema No1"""
51500,4,2016-07-01,"""Miris  Kudu"""
51500,5,2016-07-01,"""Kaha  Kudu"""
51500,6,2016-07-01,"""Thuna Paha KUdu Bedapu"""
51500,7,2016-07-01,"""Gammiris  Kudu"""
51500,8,2016-07-01,"""Gmmiris  Ata"""
51500,9,2016-07-01,Thekola
51500,10,2016-07-01,"""Paripipu  No.2 """
51500,11,2016-07-01,"""Rathu  Kekuluhal"""
51501,1,2016-07-01,"""Seeni Rathu"""
51501,2,2016-07-01,"""Sudu Kekulu  Hal"""
51501,3,2016-07-01,"""Pan Piti Prema No1"""
51501,4,2016-07-01,"""Miris  Kudu"""
51501,5,2016-07-01,"""Kaha  Kudu"""
51502,1,2016-07-01,"""Seeni Rathu"""
51502,2,2016-07-01,"""Sudu Kekulu  Hal"""
51503,1,2016-07-01,"""Seeni Rathu"""
51504,1,2016-07-01,"""Seeni Rathu"""
51505,1,2016-07-01,"""Seeni Rathu"""
51506,1,2016-07-01,"""Seeni Rathu"""
51506,2,2016-07-01,"""Sudu Kekulu  Hal"""
51506,3,2016-07-01,"""Pan Piti Prema No1"""
51506,4,2016-07-01,"""Miris  Kudu"""
51506,5,2016-07-01,"""Kaha  Kudu"""
51506,6,2016-07-01,"""Thuna Paha KUdu Bedapu"""
51506,7,2016-07-01,"""Gammiris  Kudu"""
51506,8,2016-07-01,"""Gmmiris  Ata"""
51506,9,2016-07-01,Thekola
51507,1,2016-07-01,"""Seeni Rathu"""
51508,1,2016-07-01,"""Seeni Rathu"""
51508,2,2016-07-01,"""Sudu Kekulu  Hal"""
51508,3,2016-07-01,"""Pan Piti Prema No1"""
51508,4,2016-07-01,"""Miris  Kudu"""
51509,1,2016-07-01,"""Seeni Rathu"""
51511,1,2016-07-01,"""Seeni Rathu"""
51511,2,2016-07-01,"""Sudu Kekulu  Hal"""
51511,3,2016-07-01,"""Pan Piti Prema No1"""
51512,1,2016-07-01,"""Seeni Rathu"""
51512,2,2016-07-01,"""Sudu Kekulu  Hal"""
51513,1,2016-07-01,"""Seeni Rathu"""
51513,2,2016-07-01,"""Sudu Kekulu  Hal"""
51513,3,2016-07-01,"""Pan Piti Prema No1"""
51514,1,2016-07-01,"""Seeni Rathu"""
51515,1,2016-07-01,"""Seeni Rathu"""
51515,2,2016-07-01,"""Sudu Kekulu  Hal"""
51515,3,2016-07-01,"""Pan Piti Prema No1"""
51515,4,2016-07-01,"""Miris  Kudu"""
51515,5,2016-07-01,"""Kaha  Kudu"""
51515,6,2016-07-01,"""Thuna Paha KUdu Bedapu"""
51516,1,2016-07-01,"""Seeni Rathu"""
51517,1,2016-07-01,"""Seeni Rathu"""
51518,1,2016-07-01,"""Seeni Rathu"""
51518,2,2016-07-01,"""Sudu Kekulu  Hal"""
51519,1,2016-07-01,"""Seeni Rathu"""
51520,1,2016-07-01,"""Seeni Rathu"""
51521,1,2016-07-01,"""Seeni Rathu"""
51522,1,2016-07-01,"""Seeni Rathu"""
51522,2,2016-07-01,"""Sudu Kekulu  Hal"""
51522,3,2016-07-01,"""Pan Piti Prema No1"""
51522,4,2016-07-01,"""Miris  Kudu"""
51523,1,2016-07-01,"""Seeni Rathu"""
51524,1,2016-07-01,"""Seeni Rathu"""
51525,1,2016-07-01,"""Seeni Rathu"""
51525,2,2016-07-01,"""Sudu Kekulu  Hal"""
51526,1,2016-07-01,"""Seeni Rathu"""
51527,1,2016-07-01,"""Seeni Rathu"""
51528,1,2016-07-01,"""Seeni Rathu"""
51529,1,2016-07-01,"""Seeni Rathu"""
51529,2,2016-07-01,"""Sudu Kekulu  Hal"""
51530,1,2016-07-01,"""Seeni Rathu"""
51530,2,2016-07-01,"""Sudu Kekulu  Hal"""
51530,3,2016-07-01,"""Pan Piti Prema No1"""
51531,1,2016-07-01,"""Seeni Rathu"""
51533,1,2016-07-01,"""Seeni Rathu"""
51534,1,2016-07-01,"""Seeni Rathu"""
51535,1,2016-07-01,"""Seeni Rathu"""
51536,1,2016-07-01,"""Seeni Rathu"""
51537,1,2016-07-01,"""Seeni Rathu"""
51537,2,2016-07-01,"""Sudu Kekulu  Hal"""
51537,3,2016-07-01,"""Pan Piti Prema No1"""
51537,4,2016-07-01,"""Miris  Kudu"""
51537,5,2016-07-01,"""Kaha  Kudu"""
51537,6,2016-07-01,"""Thuna Paha KUdu Bedapu"""
51537,7,2016-07-01,"""Gammiris  Kudu"""
51538,1,2016-07-01,"""Seeni Rathu"""
51539,1,2016-07-01,"""Seeni Rathu"""
51540,1,2016-07-01,"""Seeni Rathu"""
51540,2,2016-07-01,"""Sudu Kekulu  Hal"""
51541,1,2016-07-01,"""Seeni Rathu"""
51541,2,2016-07-01,"""Sudu Kekulu  Hal"""
51541,3,2016-07-01,"""Pan Piti Prema No1"""
51542,1,2016-07-01,"""Seeni Rathu"""
51544,1,2016-07-01,"""Seeni Rathu"""
51545,1,2016-07-01,"""Seeni Rathu"""
51545,2,2016-07-01,"""Sudu Kekulu  Hal"""
51545,3,2016-07-01,"""Pan Piti Prema No1"""
51545,4,2016-07-01,"""Miris  Kudu"""
51545,5,2016-07-01,"""Kaha  Kudu"""
51545,6,2016-07-01,"""Thuna Paha KUdu Bedapu"""
51546,1,2016-07-01,"""Seeni Rathu"""
51546,2,2016-07-01,"""Sudu Kekulu  Hal"""
51546,3,2016-07-01,"""Pan Piti Prema No1"""
51546,4,2016-07-01,"""Miris  Kudu"""
51546,5,2016-07-01,"""Kaha  Kudu"""
51547,1,2016-07-01,"""Seeni Rathu"""
51548,1,2016-07-01,"""Seeni Rathu"""
51548,2,2016-07-01,"""Sudu Kekulu  Hal"""
51549,1,2016-07-01,"""Seeni Rathu"""
51549,2,2016-07-01,"""Sudu Kekulu  Hal"""
51550,1,2016-07-01,"""Seeni Rathu"""
51551,1,2016-07-01,"""Seeni Rathu"""
51551,2,2016-07-01,"""Sudu Kekulu  Hal"""
51552,1,2016-07-01,"""Seeni Rathu"""
51553,1,2016-07-01,"""Seeni Rathu"""
51554,1,2016-07-01,"""Seeni Rathu"""
51554,2,2016-07-01,"""Sudu Kekulu  Hal"""
51555,1,2016-07-01,"""Seeni Rathu"""
51555,2,2016-07-01,"""Sudu Kekulu  Hal"""
51556,1,2016-07-01,"""Seeni Rathu"""
51557,1,2016-07-01,"""Seeni Rathu"""
51558,1,2016-07-01,"""Seeni Rathu"""
51559,1,2016-07-01,"""Seeni Rathu"""
51559,2,2016-07-01,"""Sudu Kekulu  Hal"""
51559,3,2016-07-01,"""Pan Piti Prema No1"""
51560,1,2016-07-01,"""Seeni Rathu"""
51560,2,2016-07-01,"""Sudu Kekulu  Hal"""
51560,3,2016-07-01,"""Pan Piti Prema No1"""
51560,4,2016-07-01,"""Miris  Kudu"""
51560,5,2016-07-01,"""Kaha  Kudu"""
51561,1,2016-07-01,"""Seeni Rathu"""
51561,2,2016-07-01,"""Sudu Kekulu  Hal"""
51562,1,2016-07-01,"""Seeni Rathu"""
51562,2,2016-07-01,"""Sudu Kekulu  Hal"""
51562,3,2016-07-01,"""Pan Piti Prema No1"""
51563,1,2016-07-01,"""Seeni Rathu"""
51564,1,2016-07-01,"""Seeni Rathu"""
51564,2,2016-07-01,"""Sudu Kekulu  Hal"""
